社名,本社所在地,設立,転職エージェント数,職業紹介許可番号,紹介事業許可年,ホームページ,注力職種,注力エリア
株式会社アプリキュアケアクルー,〒160-0022 東京都新宿区新宿2-5-12 FORECAST 新宿AVENUE 4F432,2017年3月,4名,登録なし,2017年6月,http://curecare.a-dive.style/,医療・福祉,【国内】 関東 【海外】 その他海外
株式会社アムスコーポレーション,〒182-0024 東京都調布市布田1-44-3タカハシビル3階,1992年11月11日,2名,登録なし,2005年,https://www.ams-corp.co.jp/index.html,ITエンジニア / 管理・事務 / WEB・インターネット・ゲーム / 電気・電子・機械・半導体,関東
株式会社アモルデイジ,〒104-0045 東京都中央区築地1-9-2　イセツネビル６階,2006年1月4日,9名,登録なし,2006年7月1日,http://www.amoldage.co.jp/index.html,管理・事務 / コンサルタント・金融・不動産専門職 / 電気・電子・機械・半導体 / 医薬・食品・化学・素材,関東 / 関西
株式会社アルバイトタイムス,〒101-0043 東京都千代田区神田富山町５－１ 神田ビジネスキューブ,1973年10月29日,12名,登録なし,２０１２年,http://www.atimes.co.jp/,営業 / 管理・事務 / 販売・フード・アミューズメント / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア / 建築・土木,【国内】 東海 【海外】 その他アジア
株式会社アルファテック,〒105-0004 東京都港区新橋3丁目6-14　文銭堂ビル4F,2006年9月5日,10名,登録なし,2008年9月,http://alphatec-co.com/,営業 / 管理・事務 / 医療・福祉 / 保育・教育・通訳,登録なし
株式会社アルファ・リンク,〒101-0023 東京都千代田区神田松永町17-15,1991年11月28日,5名,登録なし,2011年10月,http://www.a-link.co.jp/jinzai/index2.html,管理・事務 / 営業 / 企画・経営 / 販売・フード・アミューズメント / コンサルタント・金融・不動産専門職 / 電気・電子・機械・半導体 / 建築・土木,北海道・東北 / 北信越 / 関東 / 関西 / 東海 / 中国・四国 / 九州
株式会社アロンジ,〒530-0044 大阪府大阪市北区東天満2-6-7 南森町東一号館9階,2016年11月24日,3名,登録なし,2017年,http://allonsy.co.jp/,営業 / 販売・フード・アミューズメント / 美容・ホテル・ブライダル・交通 / クリエイティブ / WEB・インターネット・ゲーム,関西 / 関東 / 東海
株式会社アンゼロ,〒104-0028 東京都中央区八重洲 2-10-8 八重洲ビル7階,2009年8月10日,8名,登録なし,2010年,http://www.unzero.co.jp/,営業 / 企画・経営 / 管理・事務 / コンサルタント・金融・不動産専門職 / ITエンジニア / 建築・土木 / 技能工・設備・倉庫・農林水産・他,【国内】 関東 / 関西 【海外】 中国 / 香港 / シンガポール / ヨーロッパ
株式会社アヴァンティスタッフ,〒103-0026 東京都中央区日本橋兜町6-7　ヒューリック兜町ビル,1984年9月,3名,登録なし,平成09年06月01,http://www.avantistaff.com/,営業 / 企画・経営 / 管理・事務 / 電気・電子・機械・半導体,【国内】 関西 【海外】 中国 / シンガポール
株式会社アートマネージメント,〒550-0011 大阪府大阪市西区阿波座1-14-4 サインカンパニービル202,2017年2月,2名,登録なし,2017年,登録なし,営業 / 企画・経営 / 販売・フード・アミューズメント / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア,関西 / 関東
RGF HR Agent Japan　（シーディエスアイ株式会社）,〒150-0012 東京都渋谷区広尾1-13-7 恵比寿イーストビル2F,2011年4月,89名,登録なし,1998年,http://www.rgf-hragent.asia/japan,登録なし,登録なし
株式会社アールストーン,〒171-0021 東京都豊島区西池袋2-41-8,2007年10月23日,32名,登録なし,平成20年07月,https://www.rstone-jp.com/,WEB・インターネット・ゲーム / クリエイティブ / ITエンジニア,関東
株式会社RD SUPPORT ｜食・化粧品・健康業界専門の転職エージェント,〒101-0052 東京都千代田区神田小川町1-1-15 D&F御茶ノ水ビル5階,1998年12月11日,11名,登録なし,2002年10月,http://www.rdsupport-tenshoku.jp/,医薬・食品・化学・素材 / 営業 / 企画・経営 / 管理・事務 / 医療・福祉,北海道・東北 / 北信越 / 関東 / 関西 / 東海 / 中国・四国 / 九州
株式会社R4CAREER,〒460-0008 愛知県名古屋市中区栄2-9-26ポーラ名古屋ビル3階,2009年4月21日,7名,登録なし,2009年7月,http://www.r4career.co.jp/,営業 / 企画・経営 / 管理・事務 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体 / 建築・土木 / 医薬・食品・化学・素材,東海
株式会社イグニスブレイン,〒981-3203 宮城県仙台市泉区高森2-1-40 21世紀プラザ研究センター3F,2017年4月27日,2名,登録なし,2017年,http://ignis-brain.co.jp,電気・電子・機械・半導体 / 営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / 美容・ホテル・ブライダル・交通 / 医療・福祉 / 保育・教育・通訳 / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア / 建築・土木 / 医薬・食品・化学・素材 / 技能工・設備・倉庫・農林水産・他 / 公共サービス,北海道・東北 / 北信越 / 関東 / 関西 / 東海 / 中国・四国 / 九州
株式会社イマジカデジタルスケープ,〒150-0043 東京都渋谷区道玄坂1-10-8　渋谷道玄坂東急ビル8Ｆ,1995年10月4日,登録なし,登録なし,1999年,http://www.dsp.co.jp/,クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア,登録なし
株式会社イマジカデジタルスケープ大阪支店,〒150-0043 東京都渋谷区道玄坂1-10-8　渋谷野村ビル８階,1995年10月4日,登録なし,登録なし,1999年,http://www.dsp.co.jp,コンサルタント・金融・不動産専門職 / WEB・インターネット・ゲーム,登録なし
株式会社イン・ザ・ゾーン,〒103-0016 東京都中央区日本橋小網町8-2 BIZMARKS 日本橋茅場町8F,2017年5月26日,登録なし,登録なし,2017年,http://www.inthezone.co.jp,営業 / 管理・事務 / 保育・教育・通訳,関東
インター株式会社,〒106-0031 東京都港区西麻布一丁目11番6号　ホテル＆レジデンス六本木,平成26年12月,登録なし,登録なし,平成27年06月01,登録なし,営業 / 企画・経営 / 管理・事務 / 保育・教育・通訳 / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア,【国内】 関東 / 関西 【海外】 中国 / 韓国 / 香港 / シンガポール / その他アジア / オーストラリア / アメリカ・カナダ / ヨーロッパ
株式会社インタースクエア,〒530-0051 大阪府大阪市北区太融寺町5-13 東梅田パークビル4階,平成8年2月15日,11名,登録なし,2005年,https://www.intersquare.co.jp/,営業 / 医療・福祉 / 保育・教育・通訳 / 医薬・食品・化学・素材,関西
株式会社インターブリッジ,〒104-0032 東京都中央区八丁堀３－３－１　アーバネックス八丁堀５０３,２００７年１０月２日,登録なし,登録なし,２００８年１月,http://www.interbridge.jp/,企画・経営 / WEB・インターネット・ゲーム / 営業 / 管理・事務,登録なし
株式会社インターワークス,〒105-0003 東京都港区西新橋1-6-21　NBF虎ノ門ビル8階,1991年3月,153名,登録なし,2007年,http://www.i-am.jp/,電気・電子・機械・半導体 / 営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア,関東 / 関西
株式会社インフィニティー,〒460-0003 愛知県名古屋市中区錦1-17-13　名興ビル5F,2002年,6名,登録なし,2002年,http://www.in-fy.com/,営業 / 企画・経営 / 管理・事務 / ITエンジニア / 電気・電子・機械・半導体 / 建築・土木,東海
株式会社インフォメーション・リサーチ研究所,〒550-0004 大阪府大阪市西区靭本町１－５－１５　第二富士ビル４Ｆ,１９９５年,2名,登録なし,１９９５年,http://www.e-iri.jp/,管理・事務 / 営業 / 企画・経営 / 医療・福祉 / ITエンジニア / 電気・電子・機械・半導体 / 建築・土木 / 医薬・食品・化学・素材,関西 / 関東
株式会社ウィズ,〒153-0064 東京都目黒区下目黒1-8-1 アルコタワー4F,1989年12月,10名,登録なし,2009年3月1日,https://www.kentakun.co.jp/,営業 / 管理・事務,登録なし
株式会社ウインネット,〒160-0022 東京都新宿区新宿３−３−１　龍王堂ビル６階,2001年12月14日,5名,登録なし,２００４年９月,http://www.winnet.jp,クリエイティブ / 医薬・食品・化学・素材,関東
ウェブスタッフ株式会社,〒150-0031 東京都渋谷区桜丘町20-1渋谷インフォスタワー5F,1998年10月,10名,登録なし,2002年3月,https://www.webstaff.jp/,WEB・インターネット・ゲーム / クリエイティブ / ITエンジニア,関西
ウェルソル株式会社,〒151-0053 東京都渋谷区代々木2-23-1 ニューステイトメナー372号室,2014/12/1,3名,登録なし,2014/12/1,http://well-solu.co.jp/,医療・福祉 / 営業 / 企画・経営 / 管理・事務 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア,関東 / 関西
ヴォケイション・コンサルティング株式会社,〒100-0014 東京都千代田区永田町2-17-17-7F,2013年10月,4名,登録なし,2014年,http://vc-corp.net/,営業 / 管理・事務 / 美容・ホテル・ブライダル・交通 / コンサルタント・金融・不動産専門職 / WEB・インターネット・ゲーム / ITエンジニア / 建築・土木,関東 / 関西 / 東海
H＆innovation株式会社,〒104-0061 東京都中央区銀座8-17-5 アイオス銀座,2012年4月17日,1名,登録なし,2013年3月1日,http://www.h-innovation.com,営業 / 企画・経営 / 管理・事務 / WEB・インターネット・ゲーム / ITエンジニア,登録なし
HRイニシアティブ合同会社,〒980-0811 宮城県仙台市青葉区一番町２−９−２８−２１０６,2017年８月２日,登録なし,登録なし,2017年11月,https://www.hr-ini.com/,登録なし,【国内】 北海道・東北 / 関東 【海外】 その他アジア / その他海外
株式会社エイチワンコンサルティング,〒162-0066 東京都新宿区市谷台町6-2リッチライフ市谷台町ビル4F,1998年,2名,登録なし,1998年,http://www.h-one.co.jp/,ITエンジニア / 営業 / 企画・経営 / 管理・事務 / 医療・福祉 / コンサルタント・金融・不動産専門職 / WEB・インターネット・ゲーム,【国内】 関東 / 北海道・東北 / 北信越 / 関西 / 東海 / 中国・四国 / 九州 【海外】 中国 / 韓国 / シンガポール / その他アジア
株式会社エイドウィズ,〒101-0027 東京都千代田区神田平河町1番地 第3東ビル 3階 308号,2002年,2名,登録なし,2002,http://www.aidwiz.co.jp/,登録なし,登録なし
株式会社hape,〒150-0002 東京都渋谷区渋谷1-12-2　クロスオフィス渋谷5階,2013年11月,11名,登録なし,2014年5月1日,https://hape.co.jp/,営業 / 企画・経営,関東
株式会社エキスパートスタッフ【東京本社】,〒104-0061 東京都中央区銀座1-8-16 銀座アスタービル6F,昭和62年10月,2名,登録なし,1998年,http://www.expertstaff.co.jp/,クリエイティブ / 管理・事務 / WEB・インターネット・ゲーム / ITエンジニア,関東 / 関西
株式会社エスアイイー,〒101-0023 東京都千代田区神田松永町18ビオレ秋葉原３階,2004年6月1日,3名,登録なし,2009年8月1日,http://www.ssie.jp,営業 / WEB・インターネット・ゲーム,登録なし
株式会社エスキャリア,〒151-0053 東京都渋谷区代々木1-55-4　ヤマカドビル501,2011年11月,登録なし,登録なし,2016年2月,http://escareer.co.jp/,営業 / 管理・事務,関東
SBSスタッフ株式会社,〒130-0012 東京都墨田区太平四丁目1番３号　オリナスタワー10F,平成9年6月,登録なし,登録なし,平成29年3月,http://www.sbs-staff.co.jp/,営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / 美容・ホテル・ブライダル・交通 / WEB・インターネット・ゲーム / ITエンジニア / 建築・土木 / 技能工・設備・倉庫・農林水産・他,関東
ＮＯＣアウトソーシング＆コンサルティング株式会社,〒135-0047 東京都江東区富岡1-13-6 NOCビル TEL：03-5646-2130（代表）,1965年9月,3名,登録なし,2012年4月1日,https://www.noc-net.co.jp/,クリエイティブ / WEB・インターネット・ゲーム,関東
NYI Inc.（株式会社エヌワイアイ）,〒550-0014 大阪府大阪市西区北堀江2-4-14　ミッドスクエア堀江　5F,2014年11月21日,3名,登録なし,2015年12月,http://nyi.jp/,販売・フード・アミューズメント / 営業 / 美容・ホテル・ブライダル・交通,関東 / 関西 / 東海 / 中国・四国
株式会社エバーコンサルティング,〒103-0027 東京都中央区日本橋3-5-12　ニュー八重洲ビル6階,2012年8月13日,登録なし,登録なし,2012年8月,http://ever-consul.co.jp/index.html,営業 / 管理・事務 / WEB・インターネット・ゲーム / ITエンジニア,【国内】 関東 / 北海道・東北 / 北信越 / 関西 / 東海 / 中国・四国 / 九州 【海外】 中国 / 韓国 / 香港 / シンガポール / その他アジア
株式会社エボルバビジネスサポート,〒104-0031 東京都中央区京橋2-5-18 京橋創生館5F,2011年7月29日,3名,登録なし,2010年10月1日,http://www.evolva-bs.co.jp/,管理・事務 / 営業 / 企画・経営,関東 / 関西 / 東海
株式会社エム・アイ・エル,〒101-0051 東京都千代田区神田神保町3−2−5　九段ロイヤルビル　6階,1998年9月,6名,登録なし,1998年,登録なし,管理・事務,登録なし
株式会社MS-Japan,〒102-0071 東京都千代田区富士見2-10-2 飯田橋グラン・ブルーム4F,1990年4月,126名,登録なし,1995年,https://tracker.adplan7.com/wa/c/r/p?md=3437&cp=31810&agr=8106782&ad=4269609,管理・事務 / 企画・経営 / コンサルタント・金融・不動産専門職,関東 / 関西 / 東海
株式会社エントラスト,〒170-0013 東京都豊島区東池袋4-21-1　アウルタワー614号,2006年9月20日,登録なし,登録なし,2006年,http://www.en-trust.co.jp,コンサルタント・金融・不動産専門職,登録なし
株式会社エンなび,〒107-0061 東京都港区北青山2-7-26 Landwork青山ビル2F・4F  (受付は2階になります),2013年4月,4名,登録なし,2017年2月,http://en-navi.co.jp/,営業 / 企画・経営 / 美容・ホテル・ブライダル・交通 / 医療・福祉 / コンサルタント・金融・不動産専門職 / WEB・インターネット・ゲーム / 公共サービス,北海道・東北 / 北信越 / 関東 / 関西 / 東海 / 中国・四国 / 九州
株式会社Ａキャリア,〒171-0022 東京都豊島区南池袋2-41-12　池袋セントラル201,2012年12月1日,登録なし,登録なし,2012年12月1日,登録なし,管理・事務 / コンサルタント・金融・不動産専門職 / ITエンジニア,【国内】 関東 / 北海道・東北 / 北信越 / 中国・四国 【海外】 中国 / その他アジア
株式会社ACR,〒810-0004 福岡県福岡市中央区渡辺通4-10-10 紙与天神ビル2F,昭和42年1月16日,登録なし,登録なし,昭和45年,http://www.acr.gr.jp/?mode=pc,登録なし,九州
株式会社エージェントキューブ,〒107-0052 東京都港区赤坂3-18-2　第1三州ビル 3階,2013年1月17日,8名,登録なし,2013年,http://www.agent3.co.jp/,営業,登録なし
株式会社Ａ・ヒューマン,〒108-0014 東京都港区芝5-33-7 徳栄ビル本館7F,2000年11月1日,35名,登録なし,2001年,https://a-human.net/,営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / 美容・ホテル・ブライダル・交通 / 医療・福祉 / 保育・教育・通訳 / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体 / 建築・土木 / 医薬・食品・化学・素材 / 技能工・設備・倉庫・農林水産・他 / 公共サービス,【国内】 関東 / 北海道・東北 / 北信越 / 関西 / 東海 / 中国・四国 / 九州 【海外】 中国 / 韓国 / 香港 / シンガポール / その他アジア / オーストラリア / アメリカ・カナダ / メキシコ・ブラジル / ヨーロッパ / その他海外
株式会社APパートナーズ,〒169-0075 東京都新宿区高田馬場3-12-2　高田馬場OCビル,2012年６月１日,登録なし,登録なし,平成１７年１２月１日,https://gritgroup.co.jp/,営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / 美容・ホテル・ブライダル・交通 / 医療・福祉 / 保育・教育・通訳 / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体 / 建築・土木 / 医薬・食品・化学・素材 / 技能工・設備・倉庫・農林水産・他 / 公共サービス,関東 / 関西
株式会社A・プレースメント,〒104-0032 東京都中央区八丁堀4-10-11　ネオ神谷ビル5F,2017年4月,1名,登録なし,2017年7月,https://a-placement.co.jp/,医療・福祉 / 販売・フード・アミューズメント / 美容・ホテル・ブライダル・交通 / 保育・教育・通訳 / 公共サービス,関東 / 北海道・東北 / 北信越 / 関西 / 東海 / 九州
大原キャリアスタッフ (株式会社大原ライセンスサポート),〒532-0011 大阪府大阪市淀川区西中島３−６−９　大原法律公務員専門学校大阪校,1984年,5名,登録なし,２０００年,http://www.o-hara-cs.com/,管理・事務,関西
岡三ビジネスサービス株式会社,〒103-0023 東京都中央区日本橋本町4-11-5　住友不動産日本橋本町ビル5F,1996年3月1日,登録なし,登録なし,2002年,http://www.obs-okasan.co.jp/,営業 / 管理・事務,登録なし
株式会社オズペック,〒105-0013 東京都港区浜松町1−29−10 東京ラインビル3階,2005年7月29日,14名,登録なし,2005年,http://www.ospec.co.jp/,建築・土木,関東
株式会社オフ企画　キャリアス人材センター,〒540-0012 大阪府大阪市中央区谷町５丁目６−９,1982年４月,4名,登録なし,2001年11月,http://careers-j.com/access,管理・事務 / 建築・土木,登録なし
株式会社オリガミ・キャリアデザイン,〒7700012 徳島県徳島市北佐古２番町３−３２,２０１５年,3名,登録なし,２０１６年４月,登録なし,営業 / 管理・事務 / ITエンジニア,関西 / 中国・四国
オンウェーブ株式会社,〒101-0021 東京都千代田区外神田1-18-13 秋葉原ダイビル904,2005年6月,4名,登録なし,平成20年,http://www.on-wave.jp/,ITエンジニア / 医薬・食品・化学・素材,北海道・東北 / 北信越 / 関東 / 関西 / 東海 / 中国・四国 / 九州
オーキッド・アジア・ストラテジック・コンサルタンシー株式会社,〒181-0013 東京都三鷹市下連雀下連雀3-27-1三協ビル3階,2002年6月,1名,登録なし,2004年10月1日,登録なし,企画・経営 / 営業 / 管理・事務 / コンサルタント・金融・不動産専門職,関東 / 関西
株式会社OK４U,〒730-0013 広島県広島市中区八丁堀12-10-1203,１９９６年３月１５日,2名,登録なし,２００８年,http://www.ok4u.jp,管理・事務 / 営業 / 企画・経営 / 保育・教育・通訳 / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体 / 建築・土木 / 医薬・食品・化学・素材,【国内】 中国・四国 / 関東 / 九州 【海外】 香港 / その他アジア
株式会社オーブ,〒530-0001 大阪府大阪市北区梅田1-11-4 大阪駅前第4ビル　16F,２００９年６月,登録なし,登録なし,2009年,http://aube-osaka.com,営業 / 管理・事務 / 医療・福祉 / 建築・土木,登録なし
カズワールド株式会社,〒227-0062 神奈川県横浜市青葉区あざみ野3-28-8,1999年8月,8名,登録なし,2007年11月,http://www.kaz-world-medical.com./,医薬・食品・化学・素材 / 営業 / 企画・経営 / 管理・事務 / 医療・福祉 / コンサルタント・金融・不動産専門職 / クリエイティブ / ITエンジニア,【国内】 関東 / 北海道・東北 / 北信越 / 関西 / 東海 / 中国・四国 / 九州 【海外】 香港 / シンガポール / その他アジア / アメリカ・カナダ / ヨーロッパ
株式会社エブリィワークス・エンジニアード,〒460-0002 愛知県名古屋市中区丸の内3-19-23　5thFPSビル7階,2007年6月27日,2名,登録なし,2012年4月1日,www.everyworks.jp,電気・電子・機械・半導体 / ITエンジニア,東海 / 関東
株式会社エスプリ,〒231-0023 神奈川県横浜市中区山下町24-8 8F,2017/12,登録なし,登録なし,2017/12,登録なし,ITエンジニア / 営業 / 企画・経営 / 電気・電子・機械・半導体 / 医薬・食品・化学・素材,関東
株式会社カムテイ,〒550-0003 大阪府大阪市西区京町堀1-4-16　センチュリビル4F,1998年7月,3名,登録なし,平成13年03月,http://www.kamty.co.jp/,営業 / 管理・事務 / クリエイティブ / WEB・インターネット・ゲーム / 電気・電子・機械・半導体,関西
株式会社かんでんジョイナス,〒530-0001 大阪府大阪市北区梅田３丁目 ３番１０号 梅田ダイビル７階,平成10年10月28日,7名,登録なし,平成１４年,https://www.kanden-jns.co.jp/,管理・事務 / 電気・電子・機械・半導体 / 技能工・設備・倉庫・農林水産・他,関西
株式会社絆コーポレーション,〒950-0983 新潟県新潟市中央区神道寺2-1-1,平成22年10月5日,2名,登録なし,平成24年1月1日,http://www.kizuna-corp.com/,登録なし,登録なし
キャプラン株式会社（PASONA GROUP）,〒100-8228 東京都千代田区大手町2-6-2,1982年1月,6名,登録なし,平成10年10月01,http://www.caplan.jp/corp/location/osaka.html,医療・福祉,関西
